name,symbol,market_cap,market_cap_dominance,percent_change_24h,percent_change_7d,price,volume_24h,volume_change_24h
0,Bitcoin,BTC,1061289072649.6714,42.1423,2.39078452,-4.99241994,56195.21255329526,26944674076.96264,-12.4594
1,Ethereum,ETH,501588631414.4965,19.9174,2.83415642,-1.95100657,4231.784767672544,15344687211.998451,-8.4397
2,Binance Coin,BNB,100834573394.43251,4.004,-0.24691461,2.7013988,604.5196607066068,2674766255.9062195,6.3495
3,Tether,USDT,73148328715.88414,2.9046,0.02919311,0.03433954,1.000370412384579,70898372567.51102,-4.9364
4,Solana,SOL,59870469106.22692,2.3774,1.18366477,-14.67380003,196.91148531777583,1926554649.1040783,31.7377
5,Cardano,ADA,51820609701.18764,2.0573,0.1187356,-16.30135486,1.5555556572984741,2118592956.1307085,33.5278
6,XRP,XRP,44846102589.310135,1.7779,0.12007538,-11.08943735,0.9509558395912253,2509131145.7142234,1.9504
7,USD Coin,USDC,38392139305.256676,1.5232,-0.00235135,0.10450097,0.9999842556607068,4238772140.582789,9.8518
8,Polkadot,DOT,34456724412.77067,1.3682,-1.41114375,-18.5548188,34.8900831466564,1457186606.2074502,38.7357
9,Dogecoin,DOGE,26899099371.11066,1.0681,-1.07598482,-10.73584894,0.20331258537771033,987516628.2745279,5.5597
10,Avalanche,AVAX,24462956979.41433,0.9706,-3.21413291,-16.78784273,109.2888590149345,1373957377.5464237,12.6292
11,SHIBA INU,SHIB,21037972663.27619,0.8342,-2.37602401,-13.50747092,3.831662794783732e-05,1802439908.784674,-14.2966
12,Terra,LUNA,19439868396.265396,0.7719,11.91563186,11.87683332,49.438515725052774,2039878250.771406,149.6152
13,Crypto.com Coin,CRO,18771294207.931133,0.7442,-6.68338719,-4.35551864,0.7430346369908911,838144145.907069,-30.159
14,Wrapped Bitcoin,WBTC,14050024114.299932,0.5579,2.80294913,-5.40756619,55495.0229669739,249584138.59774402,24.0588
15,Litecoin,LTC,13439750615.276525,0.5337,-0.43245526,-13.4017226,194.57305064421433,1629605237.7423077,14.6044
16,Binance USD,BUSD,12972118332.932001,0.5151,0.00858294,-0.00218902,1.0001192734805338,5885800003.660573,1.2097
17,Uniswap,UNI,12513023870.115833,0.4969,1.75480064,-8.58463806,19.92972336281237,258251907.95885646,60.0989
18,Polygon,MATIC,11442334481.931252,0.4537,0.5264481,0.65453122,1.629571506116897,910662641.8670859,-4.3977
19,Chainlink,LINK,11310507856.121893,0.4491,-0.47228661,-16.21966481,24.219007429815537,789328518.7785293,2.4496
